id;text
0;O cientista observa a célula. A estrutura celular revela um segredo biológico
1;O novo telescópio detecta uma galáxia distante. A luz viaja pelo espaço infinito
2;A vacina protege o corpo contra o vírus. A medicina avança com a pesquisa
3;O algoritmo processa o dado genético. A computação acelera a descoberta médica
4;A física estuda a partícula atômica. A energia flutua no vácuo quântico
5;O arqueólogo encontra um fóssil antigo. O osso revela a evolução da espécie
6;O satélite mapeia o oceano profundo. A água esconde uma nova espécie marinha
7;O cérebro reage ao estímulo elétrico. O neurônio dispara uma sinapse química
8;O experimento químico gera um novo material. O composto resiste ao calor extremo
9;A inteligência artificial analisa o padrão climático. O modelo prevê a tempestade tropical